294, 5036, 24285.6322, 149.934510
295, 7063, 24284.1362, 149.925275
296, 9634, 24282.6403, 149.916039
297, 12738, 24281.1443, 149.906803
298, 16350, 24279.6484, 149.897567
299, 20436, 24278.1524, 149.888332
300, 24948, 24276.6564, 149.879096
301, 29828, 24275.1605, 149.869860
302, 35007, 24273.6645, 149.860624
303, 40406, 24272.1686, 149.851389
304, 45938, 24270.6726, 149.842153
305, 51509, 24269.1766, 149.832917
306, 57022, 24267.6807, 149.823681
307, 62372, 24266.1847, 149.814446
308, 67456, 24264.6888, 149.805210
309, 72171, 24263.1928, 149.795974
310, 76415, 24261.6968, 149.786738
311, 80093, 24260.2009, 149.777503
312, 83116, 24258.7049, 149.768267
313, 85403, 24257.2090, 149.759031
314, 86883, 24255.7130, 149.749795
315, 87500, 24254.2170, 149.740560
316, 87210, 24252.7211, 149.731324
317, 85983, 24251.2251, 149.722088
318, 83805, 24249.7292, 149.712852
319, 80680, 24248.2332, 149.703617
320, 76625, 24246.7372, 149.694381
321, 71677, 24245.2413, 149.685145
322, 65885, 24243.7453, 149.675909
323, 59316, 24242.2494, 149.666674
324, 52049, 24240.7534, 149.657438
325, 44174, 24239.2574, 149.648202
326, 35792, 24237.7615, 149.638966
327, 27014, 24236.2655, 149.629731
328, 17955, 24234.7696, 149.620495
329, 8734, 24233.2736, 149.611259
330, -529, 24231.7776, 149.602023
331, -9714, 24230.2817, 149.592788
332, -18706, 24228.7857, 149.583552
333, -27396, 24227.2898, 149.574316
334, -35683, 24225.7938, 149.565080
335, -43476, 24224.2978, 149.555845
336, -50696, 24222.8019, 149.546609
337, -57277, 24221.3059, 149.537373
338, -63167, 24219.8100, 149.528137
339, -68331, 24218.3140, 149.518902
340, -72748, 24216.8180, 149.509666
341, -76413, 24215.3221, 149.500430
342, -79334, 24213.8261, 149.491194
343, -81535, 24212.3302, 149.481959
344, -83053, 24210.8342, 149.472723
345, -83935, 24209.3382, 149.463487
346, -84238, 24207.8423, 149.454251
347, -84027, 24206.3463, 149.445016
348, -83373, 24204.8504, 149.435780
349, -82347, 24203.3544, 149.426544
350, -81025, 24201.8584, 149.417308
351, -79477, 24200.3625, 149.408073
